element,total_points
143.0,2.5420925008995656
144.0,4.266200440727815
145.0,0.8064265461175442
146.0,2.798102666285397
147.0,3.159641329855864
148.0,1.6400900799600233
149.0,2.7492745658260236
150.0,2.5089101016982425
152.0,0.9670497325294006
153.0,1.8305244254396464
154.0,3.799409937479224
155.0,2.135544420881702
156.0,3.3260336739125176
157.0,0.5163977794943222
159.0,2.572525253299137
160.0,2.3121449982113194
161.0,0.0
162.0,2.457295724456605
163.0,0.9021379128785209
165.0,3.259496804606157
168.0,3.075457942882907
169.0,3.5508160936432027
170.0,2.490367747718438
171.0,1.7462390012110738
172.0,1.0023050357128733
173.0,2.4667786636008944
174.0,2.1638023317986175
175.0,1.8695947730416385
176.0,2.335496832484569
177.0,2.8622614001136664
178.0,2.7053106427467557
179.0,1.9883719944733174
180.0,3.384647377576934
184.0,3.0561812613847077
185.0,3.4107893753346787
186.0,1.787375600835353
187.0,2.5324128324778252
188.0,1.5812776421497816
189.0,2.2980525998405663
190.0,3.43707259356971
191.0,0.9986495604912493
192.0,0.0
193.0,1.5164158098003861
194.0,1.4175495383432708
196.0,2.94037073362372
197.0,1.0794638322992416
198.0,1.749328550027081
199.0,2.315011723356769
200.0,3.253554431442044
201.0,2.132843080923474
202.0,1.629510058362031
203.0,0.603833904824319
204.0,
205.0,4.520589226014083
207.0,3.23751161874077
208.0,2.4762322317764003
209.0,3.1563099672483736
210.0,3.369542200972889
211.0,3.619746414124075
212.0,4.569313033475916
213.0,3.459797115212303
214.0,0.778498944161523
215.0,3.4253001505123524
216.0,0.7543142864047142
217.0,2.5756098760810486
218.0,2.005824851110718
219.0,2.3737210229967234
220.0,2.6798914496333954
221.0,1.314545397550106
222.0,2.5434837257029184
224.0,3.426751078035823
225.0,1.9225832961440825
227.0,2.2594621794718006
228.0,4.335772177809593
229.0,3.53249060910628
230.0,3.932373905198961
231.0,2.904793789887782
232.0,2.6394558459528024
233.0,5.77995393535485
234.0,4.030734915178971
235.0,2.780426087988895
236.0,2.586595482574767
237.0,3.8297084310253524
238.0,3.2041639575194445
239.0,3.1737560197228882
240.0,4.080080737378785
242.0,2.309401076758503
243.0,2.4794392607238933
244.0,2.123061271504328
245.0,3.1822423959633666
